concurrency,endpoint,avg_response_time_ms,throughput_req_per_sec,error_rate_percent,notes
100,/auth/login,,,,
100,/restaurants/search,,,,
100,/restaurants/{id}/reviews,,,,
200,/auth/login,,,,
200,/restaurants/search,,,,
200,/restaurants/{id}/reviews,,,,
300,/auth/login,,,,
300,/restaurants/search,,,,
300,/restaurants/{id}/reviews,,,,
400,/auth/login,,,,
400,/restaurants/search,,,,
400,/restaurants/{id}/reviews,,,,
500,/auth/login,,,,
500,/restaurants/search,,,,
500,/restaurants/{id}/reviews,,,,
